idx,idm,errors
0,0,0.0
1,1,4.76837158203125e-07
2,2,6.743495761743046e-07
3,4,0.0
4,5,0.0
5,8,0.0
6,9,0.0
7,10,0.0
8,11,0.0
9,12,0.0
10,13,0.0
11,14,5.331201499700045e-07
12,15,2.384185791015625e-07
13,16,1.1920928955078125e-07
14,20,2.384185791015625e-07
15,21,4.76837158203125e-07
16,22,4.76837158203125e-07
17,23,0.0
18,25,0.0
19,26,9.5367431640625e-07
20,28,0.0
21,29,9.5367431640625e-07
22,30,9.5367431640625e-07
23,27,4.76837158203125e-07
24,35,3.5762786865234375e-07
25,36,3.5762786865234375e-07
26,38,0.0
27,39,1.7881393432617188e-07
28,41,0.0
29,42,0.0
30,46,9.5367431640625e-07
31,47,4.76837158203125e-07
32,48,0.0
33,49,0.0
34,50,9.5367431640625e-07
35,51,0.0
36,52,0.0
37,53,0.0
38,55,3.5762786865234375e-07
39,57,3.5762786865234375e-07
40,58,4.76837158203125e-07
41,61,0.0
42,63,4.76837158203125e-07
43,64,9.5367431640625e-07
44,65,0.0
45,66,0.0
46,67,0.0
47,68,0.0
48,69,0.0
49,70,0.0
50,71,0.0
51,56,2.384185791015625e-07
52,72,0.0
53,75,8.940696716308594e-08
54,76,9.5367431640625e-07
55,77,4.76837158203125e-07
56,80,4.76837158203125e-07
57,81,0.0
58,83,0.0
59,88,0.0
60,87,0.0
61,89,0.0
62,90,0.0
63,91,0.0
64,92,0.0
65,93,0.0
66,94,2.384185791015625e-07
67,97,9.906751000043548e-07
68,99,1.1920928955078125e-07
69,100,0.0
70,101,0.0
71,103,0.0
72,104,0.0
73,105,0.0
74,106,0.0
75,107,0.0
76,108,0.0
77,109,0.0
78,110,0.0
79,111,2.384185791015625e-07
80,113,0.0
81,118,4.76837158203125e-07
82,119,1.1920928955078125e-07
83,121,4.76837158203125e-07
84,123,0.0
85,124,0.0
86,125,0.0
87,126,0.0
88,127,0.0
89,128,0.0
90,129,0.0
91,130,0.0
92,131,0.0
93,132,0.0
94,133,2.384185791015625e-07
95,138,4.76837158203125e-07
96,139,2.384185791015625e-07
97,140,4.76837158203125e-07
98,141,2.384185791015625e-07
99,142,0.0
100,143,4.76837158203125e-07
101,145,0.0
102,146,0.0
103,144,4.76837158203125e-07
104,147,0.0
105,148,0.0
106,149,0.0
107,151,0.0
108,152,2.384185791015625e-07
109,154,4.76837158203125e-07
110,159,1.7881393432617188e-07
111,161,4.76837158203125e-07
112,163,2.384185791015625e-07
113,164,4.76837158203125e-07
114,166,3.5762786865234375e-07
115,167,0.0
