idx,idm,errors
0,6626,2.384185791015625e-07
1,6534,1.1920928955078125e-07
2,6532,1.1920928955078125e-07
3,6627,3.5762786865234375e-07
4,6621,5.960464477539063e-08
5,6618,1.043081283569336e-07
6,6619,4.172325134277344e-07
7,6667,3.5762786865234375e-07
8,6581,3.5762786865234375e-07
9,6582,2.384185791015625e-07
10,6671,2.384185791015625e-07
11,6629,3.5762786865234375e-07
12,6670,4.76837158203125e-07
13,6673,3.5762786865234375e-07
14,6709,2.384185791015625e-07
15,6710,2.384185791015625e-07
16,6711,0.0
17,6712,2.384185791015625e-07
18,6714,2.384185791015625e-07
19,6717,2.384185791015625e-07
20,6745,0.0
21,6666,3.5762786865234375e-07
22,6665,5.331201499700045e-07
23,6746,6.051045806481526e-07
24,6747,4.915124923727108e-07
25,6752,0.0
26,6753,2.384185791015625e-07
27,6754,2.384185791015625e-07
28,6756,2.384185791015625e-07
29,6757,3.5762786865234375e-07
30,6792,2.6656007498500226e-07
31,6794,2.384185791015625e-07
32,6799,2.384185791015625e-07
33,6800,2.384185791015625e-07
34,6802,3.5762786865234375e-07
35,6834,5.464887863663509e-07
36,6835,4.915124923727108e-07
37,6836,4.76837158203125e-07
38,6839,2.384185791015625e-07
39,6841,2.384185791015625e-07
40,6842,2.384185791015625e-07
41,6843,0.0
42,6845,0.0
43,6847,3.5762786865234375e-07
44,6804,5.960464477539063e-08
45,6791,2.384185791015625e-07
46,6832,2.086162567138672e-07
47,6879,4.805480091749757e-07
48,6880,5.960464477539062e-07
49,6881,7.450580596923828e-08
50,6882,1.1920928955078125e-07
51,6883,5.331201499700045e-07
52,6886,4.76837158203125e-07
53,6887,4.76837158203125e-07
54,6890,2.384185791015625e-07
55,6893,2.384185791015625e-07
56,6849,1.4901161193847656e-07
57,6897,3.2782554626464844e-07
58,6898,4.172325134277344e-07
59,6878,4.915124923727108e-07
60,6918,4.172325134277344e-07
61,6921,5.331201499700045e-07
62,6922,2.384185791015625e-07
63,6925,4.76837158203125e-07
64,6926,4.76837158203125e-07
65,6927,4.76837158203125e-07
66,6928,4.76837158203125e-07
67,6931,4.76837158203125e-07
68,6933,1.1920928955078125e-07
69,6935,4.172325134277344e-07
70,6936,2.384185791015625e-07
71,6917,0.0
72,6961,5.331201499700045e-07
73,6962,3.129243850708008e-07
74,6963,5.331201499700045e-07
75,6964,6.143906154658885e-07
76,6966,5.960464477539062e-07
77,6967,0.0
78,6971,2.384185791015625e-07
79,6973,4.76837158203125e-07
80,6976,2.384185791015625e-07
81,6977,4.76837158203125e-07
82,6979,2.384185791015625e-07
83,6983,0.0
84,6985,2.384185791015625e-07
85,6960,4.76837158203125e-07
86,7007,0.0
87,7008,2.384185791015625e-07
88,7009,3.371747880871523e-07
89,7012,2.6656007498500226e-07
90,7014,2.384185791015625e-07
91,7015,2.384185791015625e-07
92,7019,0.0
93,7023,3.5762786865234375e-07
94,7024,4.76837158203125e-07
95,7043,5.331201499700045e-07
96,7044,5.092623081992585e-07
97,7045,2.5288109106536417e-07
98,7046,4.6552715753952587e-07
99,7050,5.331201499700045e-07
100,7051,2.384185791015625e-07
101,7056,2.384185791015625e-07
102,7057,2.384185791015625e-07
103,7058,4.76837158203125e-07
104,7062,0.0
105,7064,8.940696716308594e-08
106,7066,2.384185791015625e-07
107,7067,4.76837158203125e-07
108,7049,4.76837158203125e-07
109,7090,4.76837158203125e-07
110,7091,2.384185791015625e-07
111,7092,3.371747880871523e-07
112,7093,2.79967400849699e-07
113,7048,4.76837158203125e-07
114,7096,4.76837158203125e-07
115,7097,4.76837158203125e-07
116,7098,2.384185791015625e-07
117,7101,4.76837158203125e-07
118,7103,0.0
119,7104,2.384185791015625e-07
120,7107,0.0
121,7110,0.0
122,7111,2.980232238769531e-07
123,7113,1.1920928955078125e-07
124,7135,4.76837158203125e-07
125,7136,5.331201499700045e-07
126,7137,5.960464477539062e-07
127,7094,0.0
128,7139,4.76837158203125e-07
129,7140,3.371747880871523e-07
130,7141,2.384185791015625e-07
131,7143,2.384185791015625e-07
132,7144,2.384185791015625e-07
133,7149,2.384185791015625e-07
134,7151,0.0
135,7154,3.5762786865234375e-07
136,7158,0.0
137,7115,4.76837158203125e-07
138,7160,0.0
139,7161,4.76837158203125e-07
140,7179,4.76837158203125e-07
141,7180,6.743495761743046e-07
142,7181,4.76837158203125e-07
143,7182,6.214985664141952e-07
144,7183,0.0
145,7138,4.76837158203125e-07
146,7184,5.331201499700045e-07
147,7185,6.743495761743046e-07
148,7186,0.0
149,7189,4.76837158203125e-07
150,7191,4.76837158203125e-07
151,7192,0.0
152,7193,0.0
153,7194,2.384185791015625e-07
154,7195,2.384185791015625e-07
155,7196,2.384185791015625e-07
156,7197,2.384185791015625e-07
157,7201,1.1920928955078125e-07
158,7202,0.0
159,7223,0.0
160,7224,2.384185791015625e-07
161,7225,4.2981520598697533e-07
162,7226,5.724839184373184e-07
163,7227,4.851466594964178e-07
164,7228,4.76837158203125e-07
165,7229,0.0
166,7230,4.805480091749757e-07
167,7231,4.76837158203125e-07
168,7142,4.76837158203125e-07
169,7188,0.0
170,7232,4.76837158203125e-07
171,7233,4.76837158203125e-07
172,7234,4.76837158203125e-07
173,7236,2.384185791015625e-07
174,7239,2.384185791015625e-07
175,7242,2.384185791015625e-07
176,7245,3.2782554626464844e-07
177,7247,4.172325134277344e-07
178,7249,0.0
179,7250,0.0
180,7251,0.0
181,7252,0.0
182,7269,0.0
183,7270,0.0
184,7271,4.76837158203125e-07
185,7272,0.0
186,7273,4.770699320310986e-07
187,7274,5.960464477539062e-07
188,7276,2.384185791015625e-07
189,7280,2.384185791015625e-07
190,7282,4.76837158203125e-07
191,7283,1.1920928955078125e-07
192,7286,2.980232238769531e-07
193,7288,3.5762786865234375e-07
194,7290,0.0
195,7294,0.0
196,7295,0.0
197,7253,0.0
198,7311,0.0
199,7312,0.0
200,7313,4.76837158203125e-07
201,7314,4.0535540904806387e-07
202,7315,0.0
203,7316,0.0
204,7317,2.457562461863554e-07
205,7318,4.76837158203125e-07
206,7319,0.0
207,7320,0.0
208,7275,4.76837158203125e-07
209,7321,4.76837158203125e-07
210,7323,4.76837158203125e-07
211,7324,4.76837158203125e-07
212,7325,4.76837158203125e-07
213,7326,4.76837158203125e-07
214,7329,0.0
215,7333,8.940696716308594e-08
216,7337,0.0
217,7338,0.0
218,7254,0.0
219,7352,4.76837158203125e-07
220,7353,4.76837158203125e-07
221,7354,0.0
222,7355,2.384185791015625e-07
223,7356,2.6656007498500226e-07
224,7357,4.76837158203125e-07
225,7358,4.76837158203125e-07
226,7359,2.980232238769531e-07
227,7360,4.76837158203125e-07
228,7361,0.0
229,7362,2.384185791015625e-07
230,7363,4.76837158203125e-07
231,7364,4.76837158203125e-07
232,7322,4.76837158203125e-07
233,7365,2.384185791015625e-07
234,7368,0.0
235,7369,2.384185791015625e-07
236,7370,1.1920928955078125e-07
237,7371,3.5762786865234375e-07
238,7373,2.384185791015625e-07
239,7375,5.960464477539063e-08
240,7379,2.384185791015625e-07
241,7380,4.76837158203125e-07
242,7383,0.0
243,7385,0.0
244,7388,0.0
245,7298,0.0
246,7340,0.0
247,7401,4.76837158203125e-07
248,7402,4.805480091749757e-07
249,7403,5.623090941939713e-07
250,7404,0.0
251,7405,6.743495761743046e-07
252,7406,0.0
253,7407,4.76837158203125e-07
254,7367,0.0
255,7408,2.384185791015625e-07
256,7410,4.76837158203125e-07
257,7414,3.5762786865234375e-07
258,7417,0.0
259,7418,2.384185791015625e-07
260,7419,4.76837158203125e-07
261,7421,0.0
262,7422,0.0
263,7423,0.0
264,7425,9.5367431640625e-07
265,7427,0.0
266,7390,0.0
267,7428,0.0
268,7391,0.0
269,7438,4.76837158203125e-07
270,7439,4.76837158203125e-07
271,7440,0.0
272,7441,5.331201499700045e-07
273,7442,5.960464477539063e-08
274,7443,2.6656007498500226e-07
275,7444,4.76837158203125e-07
276,7445,4.76837158203125e-07
277,7446,1.1920928955078125e-07
278,7447,0.0
279,7448,0.0
280,7449,4.76837158203125e-07
281,7366,4.76837158203125e-07
282,7409,4.76837158203125e-07
283,7450,3.5762786865234375e-07
284,7452,2.980232238769531e-07
285,7454,7.450580596923828e-08
286,7456,0.0
287,7457,1.1920928955078125e-07
288,7458,0.0
289,7460,4.76837158203125e-07
290,7462,0.0
291,7464,0.0
292,7466,0.0
293,7467,0.0
294,7393,0.0
295,7475,0.0
296,7476,0.0
297,7477,4.76837158203125e-07
298,7478,4.76837158203125e-07
299,7479,2.384185791015625e-07
300,7480,4.820617769973607e-07
301,7481,1.341104507446289e-07
302,7482,4.805480091749757e-07
303,7483,1.7881393432617188e-07
304,7484,4.76837158203125e-07
305,7485,3.5762786865234375e-07
306,7486,0.0
307,7487,1.1920928955078125e-07
308,7489,3.5762786865234375e-07
309,7491,5.960464477539063e-08
310,7493,2.384185791015625e-07
311,7495,2.384185791015625e-07
312,7499,0.0
313,7501,0.0
314,7502,0.0
315,7503,0.0
316,7505,0.0
317,7508,0.0
318,7470,0.0
319,7469,0.0
320,7517,4.76837158203125e-07
321,7518,5.331201499700045e-07
322,7519,1.1920928955078125e-07
323,7520,5.057621821307283e-07
324,7521,4.76837158203125e-07
325,7522,2.384185791015625e-07
326,7523,6.016805150589471e-07
327,7524,2.384185791015625e-07
328,7525,5.960464477539063e-08
329,7526,3.5762786865234375e-07
330,7527,4.76837158203125e-07
331,7528,1.7881393432617188e-07
332,7529,0.0
333,7488,2.384185791015625e-07
334,7530,4.76837158203125e-07
335,7532,2.1606683731079102e-07
336,7536,2.384185791015625e-07
337,7538,4.76837158203125e-07
338,7540,0.0
339,7541,0.0
340,7542,0.0
341,7543,9.5367431640625e-07
342,7545,0.0
343,7546,0.0
344,7548,0.0
345,7549,0.0
346,7557,4.76837158203125e-07
347,7558,0.0
348,7559,4.76837158203125e-07
349,7560,4.76837158203125e-07
350,7561,6.536159574824962e-07
351,7562,3.371747880871523e-07
352,7563,0.0
353,7564,0.0
354,7565,0.0
355,7566,0.0
356,7567,0.0
357,7568,2.384185791015625e-07
358,7569,3.2782554626464844e-07
359,7570,2.086162567138672e-07
360,7572,2.384185791015625e-07
361,7574,2.384185791015625e-07
362,7575,0.0
363,7577,4.76837158203125e-07
364,7579,0.0
365,7580,0.0
366,7582,0.0
367,7584,0.0
368,7587,0.0
369,7589,0.0
370,7590,0.0
371,7591,0.0
372,7592,0.0
373,7593,0.0
374,7607,4.76837158203125e-07
375,7608,4.76837158203125e-07
376,7609,0.0
377,7610,4.76837158203125e-07
378,7611,4.76837158203125e-07
379,7612,3.5762786865234375e-07
380,7613,0.0
381,7614,1.1920928955078125e-07
382,7615,3.5762786865234375e-07
383,7616,2.086162567138672e-07
384,7617,3.0547380447387695e-07
385,7618,4.76837158203125e-07
386,7619,2.086162567138672e-07
387,7620,2.384185791015625e-07
388,7531,2.384185791015625e-07
389,7621,4.76837158203125e-07
390,7622,4.76837158203125e-07
391,7623,2.384185791015625e-07
392,7625,2.384185791015625e-07
393,7626,4.76837158203125e-07
394,7629,9.5367431640625e-07
395,7632,0.0
396,7634,0.0
397,7637,0.0
398,7638,0.0
399,7639,0.0
400,7645,4.76837158203125e-07
401,7646,4.76837158203125e-07
402,7647,2.384185791015625e-07
403,7648,2.980232238769531e-07
404,7649,4.76837158203125e-07
405,7650,3.371747880871523e-07
406,7651,4.76837158203125e-07
407,7652,5.331201499700045e-07
408,7653,1.1920928955078125e-07
409,7654,0.0
410,7655,0.0
411,7656,4.76837158203125e-07
412,7657,4.76837158203125e-07
413,7658,2.384185791015625e-07
414,7659,2.384185791015625e-07
415,7660,2.384185791015625e-07
416,7661,4.76837158203125e-07
417,7663,2.384185791015625e-07
418,7666,0.0
419,7668,0.0
420,7669,0.0
421,7671,0.0
422,7672,0.0
423,7674,9.5367431640625e-07
424,7676,0.0
425,7678,0.0
426,7679,0.0
427,7680,0.0
428,7686,0.0
429,7687,4.76837158203125e-07
430,7688,3.5762786865234375e-07
431,7689,4.76837158203125e-07
432,7690,5.331201499700045e-07
433,7691,0.0
434,7692,4.76837158203125e-07
435,7693,0.0
436,7694,4.76837158203125e-07
437,7695,5.331201499700045e-07
438,7696,2.384185791015625e-07
439,7697,2.384185791015625e-07
440,7698,3.5762786865234375e-07
441,7699,4.76837158203125e-07
442,7700,4.76837158203125e-07
443,7662,2.980232238769531e-07
444,7702,4.76837158203125e-07
445,7707,0.0
446,7708,0.0
447,7710,0.0
448,7712,0.0
449,7714,9.5367431640625e-07
450,7717,0.0
451,7720,0.0
452,7721,0.0
453,7722,0.0
454,7725,0.0
455,7726,0.0
456,7733,4.76837158203125e-07
457,7734,0.0
458,7735,0.0
459,7736,4.76837158203125e-07
460,7737,4.76837158203125e-07
461,7738,2.384185791015625e-07
462,7739,4.76837158203125e-07
463,7740,5.331201499700045e-07
464,7741,2.384185791015625e-07
465,7742,0.0
466,7743,4.76837158203125e-07
467,7744,2.384185791015625e-07
468,7745,2.384185791015625e-07
469,7746,4.76837158203125e-07
470,7747,0.0
471,7748,2.384185791015625e-07
472,7749,4.76837158203125e-07
473,7750,8.940696716308594e-08
474,7751,2.384185791015625e-07
475,7752,0.0
476,7701,5.960464477539063e-08
477,7753,4.76837158203125e-07
478,7754,4.76837158203125e-07
479,7757,0.0
480,7759,0.0
481,7765,0.0
482,7767,0.0
483,7768,0.0
484,7769,0.0
485,7779,2.384185791015625e-07
486,7780,0.0
487,7781,2.384185791015625e-07
488,7782,4.76837158203125e-07
489,7783,5.204751848153168e-07
490,7784,0.0
491,7785,4.915124923727108e-07
492,7786,5.331201499700045e-07
493,7787,2.384185791015625e-07
494,7788,0.0
495,7789,4.76837158203125e-07
496,7790,2.384185791015625e-07
497,7791,4.76837158203125e-07
498,7792,2.384185791015625e-07
499,7793,4.76837158203125e-07
500,7794,2.384185791015625e-07
501,7795,3.5762786865234375e-07
502,7796,2.384185791015625e-07
503,7797,4.76837158203125e-07
504,7798,4.76837158203125e-07
505,7799,2.9802322387695312e-08
506,7800,3.5762786865234375e-07
507,7801,3.5762786865234375e-07
508,7802,4.76837158203125e-07
509,7703,4.76837158203125e-07
510,7803,2.384185791015625e-07
511,7804,4.76837158203125e-07
512,7755,0.0
513,7805,0.0
514,7806,0.0
515,7808,0.0
516,7809,0.0
517,7810,0.0
518,7812,0.0
519,7813,0.0
520,7815,0.0
521,7816,0.0
522,7817,0.0
523,7818,0.0
524,7819,0.0
525,7820,0.0
526,7821,0.0
527,7828,2.384185791015625e-07
528,7829,0.0
529,7830,0.0
530,7831,2.384185791015625e-07
531,7832,2.9802322387695312e-08
532,7833,0.0
533,7834,4.76837158203125e-07
534,7835,4.76837158203125e-07
535,7836,2.384185791015625e-07
536,7837,4.76837158203125e-07
537,7838,0.0
538,7839,0.0
539,7840,4.76837158203125e-07
540,7841,4.76837158203125e-07
541,7842,1.7881393432617188e-07
542,7843,4.76837158203125e-07
543,7844,4.76837158203125e-07
544,7845,4.76837158203125e-07
545,7846,2.384185791015625e-07
546,7847,0.0
547,7848,4.76837158203125e-07
548,7849,0.0
549,7850,0.0
550,7851,0.0
551,7853,0.0
552,7855,0.0
553,7857,0.0
554,7859,0.0
555,7861,0.0
556,7863,0.0
557,7864,0.0
558,7867,0.0
559,7868,0.0
560,7869,0.0
561,7872,0.0
562,7875,0.0
563,7873,0.0
564,7876,0.0
565,7882,2.384185791015625e-07
566,7883,2.384185791015625e-07
567,7884,9.610960183499514e-07
