idx,idm,errors
0,8,0.0
1,6,0.0
2,5,0.0
3,12,0.0
4,9,0.0
5,13,0.0
6,11,0.0
7,38,0.0
8,36,0.0
9,39,0.0
10,40,0.0
11,41,0.0
12,31,0.0
13,51,0.0
14,50,0.0
15,52,0.0
16,53,0.0
17,54,0.0
18,43,0.0
19,55,0.0
20,61,0.0
21,62,0.0
22,63,0.0
23,64,0.0
24,65,0.0
25,66,0.0
26,67,0.0
27,56,0.0
28,60,0.0
29,69,0.0
30,70,0.0
31,71,0.0
32,72,0.0
33,74,0.0
34,75,0.0
35,68,0.0
36,21,0.0
37,22,0.0
38,91,0.0
39,92,0.0
40,95,0.0
41,96,0.0
42,97,0.0
43,98,0.0
44,99,0.0
45,100,0.0
46,101,0.0
47,102,0.0
48,103,0.0
49,104,0.0
50,105,0.0
51,81,0.0
52,109,0.0
53,108,0.0
54,110,0.0
55,114,0.0
56,113,0.0
57,118,0.0
58,148,0.0
59,149,0.0
60,150,0.0
61,151,0.0
62,152,0.0
63,153,0.0
64,154,0.0
65,156,0.0
66,157,0.0
67,158,0.0
68,159,0.0
69,160,0.0
70,161,0.0
71,162,0.0
72,166,0.0
73,167,0.0
74,168,0.0
75,169,0.0
76,170,0.0
77,171,0.0
78,174,0.0
79,175,0.0
80,176,0.0
81,177,0.0
82,178,0.0
83,179,0.0
84,172,0.0
85,180,0.0
86,181,0.0
87,185,0.0
88,186,0.0
89,187,0.0
90,188,0.0
91,191,0.0
92,192,0.0
93,193,0.0
94,194,0.0
95,235,0.0
96,236,0.0
97,237,0.0
98,239,0.0
99,241,0.0
100,242,0.0
101,243,0.0
102,244,0.0
103,202,0.0
104,246,0.0
105,247,0.0
106,251,0.0
107,273,0.0
108,274,0.0
109,32,0.0
110,3744,0.0
111,34,0.0
