idx,idm,errors
0,34,0.0
1,35,0.0
2,36,0.0
3,53,0.0
4,54,0.0
5,55,0.0
6,77,0.0
7,78,0.0
8,26,0.0
9,79,0.0
10,80,0.0
11,28,0.0
12,81,0.0
13,50,0.0
14,52,0.0
15,83,0.0
16,82,0.0
17,84,0.0
18,51,0.0
19,86,0.0
20,85,0.0
21,87,0.0
22,88,0.0
23,89,0.0
24,90,0.0
25,92,0.0
26,43,0.0
27,94,0.0
28,111,0.0
29,112,0.0
30,113,0.0
31,114,0.0
32,115,0.0
33,116,0.0
34,117,0.0
35,91,0.0
36,118,0.0
37,120,0.0
38,97,0.0
39,130,0.0
40,131,0.0
41,132,0.0
42,133,0.0
43,134,0.0
44,135,0.0
45,119,0.0
46,136,0.0
47,123,0.0
48,147,0.0
49,148,0.0
50,149,0.0
51,150,0.0
52,151,0.0
53,152,0.0
54,153,0.0
55,154,0.0
56,155,0.0
57,156,0.0
58,158,0.0
59,140,0.0
60,165,0.0
61,166,0.0
62,167,0.0
63,169,0.0
64,170,0.0
65,171,0.0
66,172,0.0
67,173,0.0
68,174,0.0
69,175,0.0
70,177,0.0
71,157,0.0
72,176,0.0
73,179,0.0
74,160,0.0
75,185,0.0
76,186,0.0
77,188,0.0
78,189,0.0
79,190,0.0
80,191,0.0
81,192,0.0
82,178,0.0
83,159,0.0
84,193,0.0
85,194,0.0
86,195,0.0
87,161,0.0
88,196,0.0
89,180,0.0
90,162,0.0
91,163,0.0
92,197,0.0
93,181,0.0
94,164,0.0
95,198,0.0
96,183,0.0
97,182,0.0
98,205,0.0
99,206,0.0
100,207,0.0
101,208,0.0
102,209,0.0
103,210,0.0
104,211,0.0
105,212,0.0
106,213,0.0
107,214,0.0
108,215,0.0
109,216,0.0
110,217,0.0
111,223,0.0
112,225,0.0
113,226,0.0
114,227,0.0
115,228,0.0
116,229,0.0
117,230,0.0
118,231,0.0
119,232,0.0
120,233,0.0
121,234,0.0
122,244,0.0
123,245,0.0
124,246,0.0
125,247,0.0
126,248,0.0
127,249,0.0
128,250,0.0
129,260,0.0
130,261,0.0
131,263,0.0
132,264,0.0
133,265,0.0
134,266,0.0
135,267,0.0
136,268,0.0
137,269,0.0
138,270,0.0
139,271,0.0
140,272,0.0
141,287,0.0
142,288,0.0
143,289,0.0
144,290,0.0
145,291,0.0
146,292,0.0
147,293,0.0
148,294,0.0
149,295,0.0
150,296,0.0
151,297,0.0
152,298,0.0
153,312,0.0
