idx,idm,errors
0,3507,0.0
1,3508,0.0
2,3546,0.0
3,3548,0.0
4,3509,0.0
5,3549,0.0
6,3593,0.0
7,3594,0.0
8,3595,0.0
9,3596,0.0
10,3504,0.0
11,3598,0.0
12,3600,0.0
13,3602,0.0
14,3603,0.0
15,3550,0.0
16,3631,0.0
17,3633,0.0
18,3634,0.0
19,3635,0.0
20,3636,0.0
21,3638,0.0
22,3640,0.0
23,3629,0.0
24,3669,0.0
25,3670,0.0
26,3672,0.0
27,3674,0.0
28,3676,0.0
29,3677,0.0
30,3678,0.0
31,3682,0.0
32,3705,0.0
33,3706,0.0
34,3708,0.0
35,3709,0.0
36,3710,0.0
37,3711,0.0
38,3713,0.0
39,3716,0.0
40,3717,0.0
41,3719,0.0
42,3722,0.0
43,3740,0.0
44,3741,0.0
45,3742,0.0
46,3744,0.0
47,3746,0.0
48,3747,0.0
49,3748,0.0
50,3749,0.0
51,3750,0.0
52,3754,0.0
53,3755,0.0
54,3756,0.0
55,3757,9.5367431640625e-07
56,3758,0.0
57,3759,0.0
58,3760,0.0
59,3762,0.0
60,3720,0.0
61,3763,0.0
62,3764,0.0
63,3765,0.0
64,3766,0.0
65,3767,0.0
66,3768,0.0
67,3769,0.0
68,3770,0.0
69,3721,0.0
70,3771,0.0
71,3772,9.5367431640625e-07
72,3773,0.0
73,3723,0.0
74,3689,0.0
75,3774,0.0
76,3775,0.0
77,3793,0.0
78,3792,0.0
79,3794,0.0
80,3796,0.0
81,3798,0.0
82,3799,0.0
83,3800,0.0
84,3801,0.0
85,3803,0.0
86,3806,0.0
87,3805,0.0
88,3761,0.0
89,3807,0.0
90,3808,0.0
91,3809,0.0
92,3810,0.0
93,3811,0.0
94,3812,0.0
95,3813,0.0
96,3814,0.0
97,3815,0.0
98,3816,0.0
99,3817,0.0
100,3725,0.0
101,3777,0.0
102,3818,0.0
103,3790,0.0
104,3833,0.0
105,3836,0.0
106,3839,0.0
107,3841,0.0
108,3842,0.0
109,3843,0.0
110,3844,0.0
111,3845,0.0
112,3846,0.0
113,3847,0.0
114,3819,0.0
115,3861,9.5367431640625e-07
116,3864,0.0
117,3865,0.0
118,3867,0.0
119,3868,0.0
120,3870,0.0
121,3874,0.0
122,3876,0.0
123,3875,0.0
124,3877,0.0
125,3878,0.0
126,3879,0.0
127,3889,4.76837158203125e-07
128,3892,4.76837158203125e-07
129,3893,0.0
130,3894,0.0
131,3895,0.0
132,3896,0.0
133,3897,0.0
134,3888,4.76837158203125e-07
135,3910,9.5367431640625e-07
136,3912,4.76837158203125e-07
137,3913,4.76837158203125e-07
138,3916,4.76837158203125e-07
139,3917,0.0
140,3918,0.0
141,3921,9.5367431640625e-07
142,3922,0.0
143,3937,0.0
144,3908,4.76837158203125e-07
145,3940,4.76837158203125e-07
146,3943,0.0
147,3944,0.0
148,3952,0.0
149,3955,4.76837158203125e-07
150,3956,4.76837158203125e-07
151,3957,2.384185791015625e-07
152,3959,0.0
