idx,idm,errors
0,3568,0.0031071803973484685
1,3569,0.0030338165281038913
2,3545,0.003555140778342139
3,3570,0.0035349216962950823
4,3566,0.003369978057965518
5,3592,0.002411377531296623
6,3593,0.0027300342789646275
7,3594,0.0031481891336593874
8,3595,0.003125372326405785
9,3567,0.003582457735688899
10,3596,0.0034601881494813165
11,3572,0.0032519595007218186
12,3598,0.002657921629722312
13,3599,0.002133435950438467
14,3600,0.0026253127938127823
15,3601,0.002792453666531457
16,3602,0.003162384033203125
17,3597,0.0037753618663123214
18,3603,0.00355294767969397
19,3604,0.003966592306378873
20,3605,0.0029734464065884554
21,3615,0.0021287431378966075
22,3616,0.0023533721997356545
23,3617,0.002599823411450122
24,3574,0.003212066273063465
25,3618,0.002382132790711808
26,3619,0.0018792120341360968
27,3620,0.0017784369138396207
28,3621,0.0016094270603430676
29,3622,0.0015778661890571187
30,3623,0.002772002336789354
31,3625,0.002877318703795921
32,3626,0.001916125369881373
33,3627,0.0011987636842224118
34,3628,0.0011797672117101795
35,3629,0.0009239701557309117
36,3630,0.0019097894310150202
37,3633,0.0021558448652884915
38,3634,0.001545477707175208
39,3635,0.0009559722871030219
40,3636,0.0004824988889129383
41,3637,0.00039005629297754257
42,3638,0.001104058339528739
43,3640,0.001619033425193867
44,3641,0.0004705742576988944
45,3642,0.0009593811944024181
46,3644,0.0012127137999708205
47,3645,0.0009701338409260109
48,3657,0.003158475464425694
49,3624,0.003790218491700599
50,3658,0.0025104715149180537
51,3659,0.0036303639339704784
52,3632,0.003338078219235719
53,3661,0.003030005657554735
54,3662,0.002326258567664759
55,3663,0.002173229382916829
56,3664,0.001504558384684605
57,3665,0.0028819709639633898
58,3668,0.0025104347431850298
59,3669,0.0018688787940531694
60,3670,0.0014809293993558342
61,3673,0.0023288955265583565
62,3674,0.001843213649542969
63,3675,0.001583425649087034
64,3676,0.0012249826873930783
65,3679,0.0018752680837689213
66,3686,0.002623571737649585
67,3687,0.003295256521268457
68,3688,0.0031635930070736456
69,3667,0.00346444677921616
70,3689,0.0020061726486259417
71,3690,0.003023553694634968
72,3691,0.0036037185827917616
73,3693,0.002834828948472679
74,3694,0.0017617552716076013
75,3695,0.002346820235954727
76,3697,0.003411486052058393
77,3698,0.0020779267822609118
78,3699,0.002574735740803683
79,3700,0.0017458690430982929
80,3701,0.0021967730036160818
81,3706,0.002562272833722043
82,3707,0.0030956473969759434
83,3710,0.0030129474199386153
84,3709,0.003642047253620955
85,3711,0.0026057232369946005
86,3712,0.002555151211227086
87,3708,0.0035905669567832628
88,3713,0.003334198169133014
89,3716,0.003370755092135374
90,3717,0.002310260038448442
91,3725,0.0028920135513745963
92,3728,0.0030678173047207786
93,3729,0.002733560663326181
94,3730,0.0028395008573103113
95,3731,0.003370692493481856
96,3727,0.0033677653828640707
97,3734,0.0032674625982630962
98,3739,0.0031874186884393997
99,3740,0.0032012839676271486
100,3741,0.0034172981319574133
