idx,idm,errors
0,5,0.00048113979822050364
1,6,0.000490259098668179
2,7,0.0005530949284793118
3,8,0.00047578313683071486
4,12,0.00046993602277937296
5,23,0.00047389841497876483
6,24,0.0005413779868211643
7,30,0.00047137373030529977
8,36,0.0004531789708469948
9,37,0.0004694403095372058
10,38,0.0004536764144079134
11,44,0.00044736169945104744
12,45,0.0004396841978157205
13,46,0.00042018851420020395
14,47,0.00043647872132531135
15,48,0.00043515982450903924
16,49,0.00042785873085967875
17,50,0.0004439658677964208
18,14,0.00040959617999664186
19,58,0.0004240495448375451
20,16,0.0004095784158773666
21,59,0.0004254199921197857
22,83,0.0005135693366178993
23,86,0.00046239732963155634
24,88,0.00045123208870304093
25,89,0.0004329975471088474
26,133,0.0005353673134556504
27,134,0.0005888025699497404
28,137,0.0004690410348799529
29,139,0.0004798792123950624
30,141,0.00046244453310216485
31,142,0.0004711112512592447
32,220,0.0005408266784194117
33,224,0.0004631362979362851
34,227,0.0005052278149714077
35,259,0.0005711896159759838
36,261,0.0004787749018652103
37,264,0.0004858912148465167
38,288,0.0005240039011725525
39,290,0.0005026723147591899
40,292,0.0004756760766381637
41,295,0.0005112405983650917
42,296,0.0004906744719804869
43,312,0.000536480584332226
44,313,0.0005941658871215907
45,318,0.0005472462109506011
46,345,0.0005445405187939933
47,346,0.0005317638730843086
48,351,0.0005343436428889054
49,367,0.0006056124762715495
50,370,0.0005963751840045948
51,371,0.0005357579004359489
52,372,0.0005513392396749529
53,399,0.000568236259844646
54,433,0.0005709316080892855
55,451,0.00059826324219102
56,452,0.0006166726851928103
57,453,0.000586223532479814
58,428,0.0006087281572057708
